key,type,name,description,zone,owner,criticality,dfd_level,pos_x,pos_y,width,height
dg_admin_portal_0101_E1,ExternalEntity,Admin OZ,,internet,,medium,1,0.0,0.0,180.0,100.0
dg_admin_portal_0101_P1,Process,Admin Portal,,app,,medium,1,0.0,0.0,180.0,100.0
dg_admin_portal_0101_P2,Process,Audit Service,,internal,,medium,1,0.0,0.0,180.0,100.0
dg_admin_portal_0101_D1,DataStore,Logs,,internal,,medium,1,0.0,0.0,180.0,100.0
dg_admin_portal_0102_E1,ExternalEntity,Admin,,internal,,medium,1,0.0,0.0,180.0,100.0
dg_admin_portal_0102_P1,Process,Admin Portal,,app,,medium,1,0.0,0.0,180.0,100.0
dg_admin_portal_0102_P2,Process,Audit Service,,internal,,medium,1,0.0,0.0,180.0,100.0
dg_admin_portal_0102_D1,DataStore,Logs,,vendor,,medium,1,0.0,0.0,180.0,100.0
dg_admin_portal_0103_E1,ExternalEntity,Admin,,internet,,medium,1,0.0,0.0,180.0,100.0
dg_admin_portal_0103_P1,Process,Admin Portal,,app,,medium,1,0.0,0.0,180.0,100.0
dg_admin_portal_0103_P2,Process,Audit Service MG,,internal,,medium,1,0.0,0.0,180.0,100.0
dg_admin_portal_0103_D1,DataStore,Logs UI,,internal,,medium,1,0.0,0.0,180.0,100.0
dg_admin_portal_0104_E1,ExternalEntity,Admin SK,,internet,,medium,1,0.0,0.0,180.0,100.0
dg_admin_portal_0104_P1,Process,Admin Portal,,app,,medium,1,0.0,0.0,180.0,100.0
dg_admin_portal_0104_P2,Process,Audit Service WF,,internet,,medium,1,0.0,0.0,180.0,100.0
dg_admin_portal_0104_D1,DataStore,Logs,,internal,,medium,1,0.0,0.0,180.0,100.0
dg_admin_portal_0105_E1,ExternalEntity,Admin,,vendor,,medium,1,0.0,0.0,180.0,100.0
dg_admin_portal_0105_P1,Process,Admin Portal,,app,,medium,1,0.0,0.0,180.0,100.0
dg_admin_portal_0105_P2,Process,Audit Service FF,,internal,,medium,1,0.0,0.0,180.0,100.0
dg_admin_portal_0105_D1,DataStore,Logs,,internal,,medium,1,0.0,0.0,180.0,100.0
