from_key,to_key,label,description,payload_schema,protocol,method,frequency,pii,confidentiality,integrity,availability,auth_required,encryption_in_transit
dg_admin_portal_0101_E1,dg_admin_portal_0101_P1,F1,,,HTTPS,,,0,high,medium,medium,1,1
dg_admin_portal_0101_P1,dg_admin_portal_0101_P1,F2,,,SQL,,,1,medium,medium,medium,0,0
dg_admin_portal_0101_P1,dg_admin_portal_0101_D1,F3,,,SSH,,,0,high,medium,medium,1,1
dg_admin_portal_0102_E1,dg_admin_portal_0102_P1,F1,,,HTTPS,,,0,high,medium,medium,1,1
dg_admin_portal_0102_P1,dg_admin_portal_0102_P1,F2,,,HTTP,,,1,medium,medium,medium,0,0
dg_admin_portal_0102_P2,dg_admin_portal_0102_D1,F3,,,NoSQL,,,0,high,medium,medium,0,0
dg_admin_portal_0103_E1,dg_admin_portal_0103_P1,F1,,,SQL,,,1,high,medium,medium,0,0
dg_admin_portal_0103_P2,dg_admin_portal_0103_P2,F2,,,HTTP,,,0,medium,medium,medium,0,0
dg_admin_portal_0103_P1,dg_admin_portal_0103_D1,F3,,,NoSQL,,,0,high,medium,medium,0,0
dg_admin_portal_0104_E1,dg_admin_portal_0104_P2,F1,,,HTTPS,,,1,medium,medium,medium,1,1
dg_admin_portal_0104_P2,dg_admin_portal_0104_P1,F2,,,HTTP,,,0,high,medium,medium,0,0
dg_admin_portal_0104_P2,dg_admin_portal_0104_D1,F3,,,SQL,,,0,high,medium,medium,0,0
dg_admin_portal_0105_E1,dg_admin_portal_0105_P2,F1,,,HTTPS,,,1,high,medium,medium,1,1
dg_admin_portal_0105_P1,dg_admin_portal_0105_P1,F2,,,HTTP,,,0,medium,medium,medium,0,0
dg_admin_portal_0105_P2,dg_admin_portal_0105_D1,F3,,,NoSQL,,,0,medium,medium,medium,0,0
dg_admin_portal_0106_E1,dg_admin_portal_0106_P2,F1,,,HTTPS,,,1,high,medium,medium,1,1
dg_admin_portal_0106_P2,dg_admin_portal_0106_P1,F2,,,AMQP,,,0,high,medium,medium,0,0
dg_admin_portal_0106_P2,dg_admin_portal_0106_D1,F3,,,NoSQL,,,0,medium,medium,medium,0,0
dg_admin_portal_0107_E1,dg_admin_portal_0107_P1,F1,,,HTTPS,,,1,high,medium,medium,1,1
dg_admin_portal_0107_P2,dg_admin_portal_0107_P1,F2,,,HTTP,,,0,high,medium,medium,0,0
dg_admin_portal_0107_P1,dg_admin_portal_0107_D1,F3,,,NoSQL,,,0,high,medium,medium,0,0
dg_admin_portal_0108_E1,dg_admin_portal_0108_P1,F1,,,AMQP,,,1,high,medium,medium,0,0
dg_admin_portal_0108_P2,dg_admin_portal_0108_P1,F2,,,HTTP,,,0,high,medium,medium,0,0
dg_admin_portal_0108_P1,dg_admin_portal_0108_D1,F3,,,NoSQL,,,0,high,medium,medium,0,0
dg_admin_portal_0109_E1,dg_admin_portal_0109_P1,F1,,,HTTPS,,,1,high,medium,medium,1,1
dg_admin_portal_0109_P1,dg_admin_portal_0109_P1,F2,,,HTTP,,,0,medium,medium,medium,0,0
dg_admin_portal_0109_P1,dg_admin_portal_0109_D1,F3,,,NoSQL,,,0,medium,medium,medium,0,0
dg_admin_portal_0110_E1,dg_admin_portal_0110_P1,F1,,,HTTPS,,,0,high,medium,medium,1,1
dg_admin_portal_0110_P1,dg_admin_portal_0110_P1,F2,,,HTTP,,,0,medium,medium,medium,0,0
dg_admin_portal_0110_P2,dg_admin_portal_0110_D1,F3,,,NoSQL,,,1,medium,medium,medium,0,0
dg_admin_portal_0111_E1,dg_admin_portal_0111_P1,F1,,,HTTPS,,,1,high,medium,medium,1,1
dg_admin_portal_0111_P1,dg_admin_portal_0111_P2,F2,,,HTTP,,,0,high,medium,medium,0,0
dg_admin_portal_0111_P2,dg_admin_portal_0111_D1,F3,,,NoSQL,,,0,high,medium,medium,0,0
dg_admin_portal_0112_E1,dg_admin_portal_0112_P2,F1,,,gRPC,,,1,high,medium,medium,0,0
dg_admin_portal_0112_P2,dg_admin_portal_0112_P2,F2,,,HTTP,,,0,medium,medium,medium,0,0
dg_admin_portal_0112_P1,dg_admin_portal_0112_D1,F3,,,NoSQL,,,0,high,medium,medium,0,0
dg_admin_portal_0113_E1,dg_admin_portal_0113_P2,F1,,,HTTPS,,,1,high,medium,medium,1,1
dg_admin_portal_0113_P1,dg_admin_portal_0113_P1,F2,,,HTTP,,,1,medium,medium,medium,0,0
dg_admin_portal_0113_P1,dg_admin_portal_0113_D1,F3,,,NoSQL,,,0,high,medium,medium,0,0
dg_admin_portal_0114_E1,dg_admin_portal_0114_P1,F1,,,HTTPS,,,1,high,medium,medium,1,1
