threat_key,component_key
dg_admin_portal_0101_th_elevation_of_privilege_1_63ef28,dg_admin_portal_0101_E1
dg_admin_portal_0101_th_elevation_of_privilege_1_63ef28,dg_admin_portal_0101_P1
dg_admin_portal_0101_th_elevation_of_privilege_1_63ef28,dg_admin_portal_0101_P2
dg_admin_portal_0101_th_elevation_of_privilege_1_63ef28,dg_admin_portal_0101_D1
dg_admin_portal_0101_th_information_disclosure_2_e5b5bb,dg_admin_portal_0101_E1
dg_admin_portal_0101_th_information_disclosure_2_e5b5bb,dg_admin_portal_0101_P1
dg_admin_portal_0101_th_information_disclosure_2_e5b5bb,dg_admin_portal_0101_P2
dg_admin_portal_0101_th_information_disclosure_2_e5b5bb,dg_admin_portal_0101_D1
dg_admin_portal_0101_th_spoofing_3_a0ac24,dg_admin_portal_0101_E1
dg_admin_portal_0101_th_spoofing_3_a0ac24,dg_admin_portal_0101_P1
dg_admin_portal_0101_th_spoofing_3_a0ac24,dg_admin_portal_0101_P2
dg_admin_portal_0101_th_spoofing_3_a0ac24,dg_admin_portal_0101_D1
dg_admin_portal_0101_th_sql_injection_4_e3f2f5,dg_admin_portal_0101_E1
dg_admin_portal_0101_th_sql_injection_4_e3f2f5,dg_admin_portal_0101_P1
dg_admin_portal_0101_th_sql_injection_4_e3f2f5,dg_admin_portal_0101_P2
dg_admin_portal_0101_th_sql_injection_4_e3f2f5,dg_admin_portal_0101_D1
dg_admin_portal_0101_th_tampering_5_5dd731,dg_admin_portal_0101_E1
dg_admin_portal_0101_th_tampering_5_5dd731,dg_admin_portal_0101_P1
dg_admin_portal_0101_th_tampering_5_5dd731,dg_admin_portal_0101_P2
dg_admin_portal_0101_th_tampering_5_5dd731,dg_admin_portal_0101_D1
dg_admin_portal_0102_th_elevation_of_privilege_1_eb66d7,dg_admin_portal_0102_E1
dg_admin_portal_0102_th_elevation_of_privilege_1_eb66d7,dg_admin_portal_0102_P1
dg_admin_portal_0102_th_elevation_of_privilege_1_eb66d7,dg_admin_portal_0102_P2
dg_admin_portal_0102_th_elevation_of_privilege_1_eb66d7,dg_admin_portal_0102_D1
dg_admin_portal_0102_th_information_disclosure_2_415c89,dg_admin_portal_0102_E1
dg_admin_portal_0102_th_information_disclosure_2_415c89,dg_admin_portal_0102_P1
dg_admin_portal_0102_th_information_disclosure_2_415c89,dg_admin_portal_0102_P2
dg_admin_portal_0102_th_information_disclosure_2_415c89,dg_admin_portal_0102_D1
dg_admin_portal_0102_th_spoofing_3_7da3a4,dg_admin_portal_0102_E1
dg_admin_portal_0102_th_spoofing_3_7da3a4,dg_admin_portal_0102_P1
dg_admin_portal_0102_th_spoofing_3_7da3a4,dg_admin_portal_0102_P2
dg_admin_portal_0102_th_spoofing_3_7da3a4,dg_admin_portal_0102_D1
dg_admin_portal_0103_th_elevation_of_privilege_1_3af6bc,dg_admin_portal_0103_E1
dg_admin_portal_0103_th_elevation_of_privilege_1_3af6bc,dg_admin_portal_0103_P1
dg_admin_portal_0103_th_elevation_of_privilege_1_3af6bc,dg_admin_portal_0103_P2
dg_admin_portal_0103_th_elevation_of_privilege_1_3af6bc,dg_admin_portal_0103_D1
dg_admin_portal_0103_th_information_disclosure_2_431558,dg_admin_portal_0103_E1
dg_admin_portal_0103_th_information_disclosure_2_431558,dg_admin_portal_0103_P1
dg_admin_portal_0103_th_information_disclosure_2_431558,dg_admin_portal_0103_P2
dg_admin_portal_0103_th_information_disclosure_2_431558,dg_admin_portal_0103_D1
dg_admin_portal_0103_th_spoofing_3_f6a76f,dg_admin_portal_0103_E1
dg_admin_portal_0103_th_spoofing_3_f6a76f,dg_admin_portal_0103_P1
dg_admin_portal_0103_th_spoofing_3_f6a76f,dg_admin_portal_0103_P2
dg_admin_portal_0103_th_spoofing_3_f6a76f,dg_admin_portal_0103_D1
dg_admin_portal_0103_th_sql_injection_4_b6225c,dg_admin_portal_0103_E1
