key,name,threat_type,criticality,status,impact,likelihood,risk_level,pos_x,pos_y,width,height
dg_admin_portal_0101_th_elevation_of_privilege_1_63ef28,elevation_of_privilege,elevation_of_privilege,high,identified,,,,0.0,0.0,160.0,80.0
dg_admin_portal_0101_th_information_disclosure_2_e5b5bb,information_disclosure,information_disclosure,high,identified,,,,0.0,0.0,160.0,80.0
dg_admin_portal_0101_th_spoofing_3_a0ac24,spoofing,spoofing,high,identified,,,,0.0,0.0,160.0,80.0
dg_admin_portal_0101_th_sql_injection_4_e3f2f5,sql_injection,sql_injection,high,identified,,,,0.0,0.0,160.0,80.0
dg_admin_portal_0101_th_tampering_5_5dd731,tampering,tampering,high,identified,,,,0.0,0.0,160.0,80.0
dg_admin_portal_0102_th_elevation_of_privilege_1_eb66d7,elevation_of_privilege,elevation_of_privilege,high,identified,,,,0.0,0.0,160.0,80.0
dg_admin_portal_0102_th_information_disclosure_2_415c89,information_disclosure,information_disclosure,high,identified,,,,0.0,0.0,160.0,80.0
dg_admin_portal_0102_th_spoofing_3_7da3a4,spoofing,spoofing,high,identified,,,,0.0,0.0,160.0,80.0
dg_admin_portal_0103_th_elevation_of_privilege_1_3af6bc,elevation_of_privilege,elevation_of_privilege,high,identified,,,,0.0,0.0,160.0,80.0
dg_admin_portal_0103_th_information_disclosure_2_431558,information_disclosure,information_disclosure,high,identified,,,,0.0,0.0,160.0,80.0
dg_admin_portal_0103_th_spoofing_3_f6a76f,spoofing,spoofing,high,identified,,,,0.0,0.0,160.0,80.0
dg_admin_portal_0103_th_sql_injection_4_b6225c,sql_injection,sql_injection,high,identified,,,,0.0,0.0,160.0,80.0
dg_admin_portal_0103_th_tampering_5_4cc7bc,tampering,tampering,high,identified,,,,0.0,0.0,160.0,80.0
dg_admin_portal_0104_th_elevation_of_privilege_1_072168,elevation_of_privilege,elevation_of_privilege,high,identified,,,,0.0,0.0,160.0,80.0
dg_admin_portal_0104_th_information_disclosure_2_1af2b8,information_disclosure,information_disclosure,high,identified,,,,0.0,0.0,160.0,80.0
dg_admin_portal_0104_th_man_in_the_middle_3_f7bf63,man_in_the_middle,man_in_the_middle,high,identified,,,,0.0,0.0,160.0,80.0
dg_admin_portal_0104_th_spoofing_4_9a18c0,spoofing,spoofing,high,identified,,,,0.0,0.0,160.0,80.0
dg_admin_portal_0104_th_sql_injection_5_ce0fbf,sql_injection,sql_injection,high,identified,,,,0.0,0.0,160.0,80.0
dg_admin_portal_0104_th_tampering_6_141b96,tampering,tampering,high,identified,,,,0.0,0.0,160.0,80.0
dg_admin_portal_0105_th_elevation_of_privilege_1_1e2cb6,elevation_of_privilege,elevation_of_privilege,high,identified,,,,0.0,0.0,160.0,80.0
dg_admin_portal_0105_th_information_disclosure_2_326120,information_disclosure,information_disclosure,high,identified,,,,0.0,0.0,160.0,80.0
dg_admin_portal_0105_th_spoofing_3_1dfb77,spoofing,spoofing,high,identified,,,,0.0,0.0,160.0,80.0
dg_admin_portal_0106_th_elevation_of_privilege_1_029b9e,elevation_of_privilege,elevation_of_privilege,high,identified,,,,0.0,0.0,160.0,80.0
dg_admin_portal_0106_th_information_disclosure_2_d0e559,information_disclosure,information_disclosure,high,identified,,,,0.0,0.0,160.0,80.0
dg_admin_portal_0106_th_spoofing_3_12014a,spoofing,spoofing,high,identified,,,,0.0,0.0,160.0,80.0
dg_admin_portal_0107_th_elevation_of_privilege_1_2b64f8,elevation_of_privilege,elevation_of_privilege,high,identified,,,,0.0,0.0,160.0,80.0
dg_admin_portal_0107_th_information_disclosure_2_fb2ada,information_disclosure,information_disclosure,high,identified,,,,0.0,0.0,160.0,80.0
dg_admin_portal_0107_th_man_in_the_middle_3_2ee159,man_in_the_middle,man_in_the_middle,high,identified,,,,0.0,0.0,160.0,80.0
dg_admin_portal_0107_th_spoofing_4_9cfca7,spoofing,spoofing,high,identified,,,,0.0,0.0,160.0,80.0
dg_admin_portal_0108_th_elevation_of_privilege_1_c66d19,elevation_of_privilege,elevation_of_privilege,high,identified,,,,0.0,0.0,160.0,80.0
dg_admin_portal_0108_th_information_disclosure_2_d52003,information_disclosure,information_disclosure,high,identified,,,,0.0,0.0,160.0,80.0
