key,name,boundary_type,criticality,pos_x,pos_y,width,height
dg_admin_portal_0103_TB1,app->internal,network,medium,0.0,0.0,400.0,200.0
dg_admin_portal_0106_TB1,app->internet,network,medium,0.0,0.0,400.0,200.0
dg_admin_portal_0108_TB1,internal->app,network,medium,0.0,0.0,400.0,200.0
dg_admin_portal_0110_TB1,internal->app,network,medium,0.0,0.0,400.0,200.0
dg_admin_portal_0111_TB1,app->internal,network,medium,0.0,0.0,400.0,200.0
dg_admin_portal_0111_TB2,app->internet,network,medium,0.0,0.0,400.0,200.0
dg_admin_portal_0112_TB1,internal->internet,network,medium,0.0,0.0,400.0,200.0
dg_admin_portal_0112_TB2,internet->internal,network,medium,0.0,0.0,400.0,200.0
dg_admin_portal_0114_TB1,internal->internet,network,medium,0.0,0.0,400.0,200.0
dg_admin_portal_0114_TB2,app->internal,network,medium,0.0,0.0,400.0,200.0
dg_admin_portal_0120_TB1,internal->internet,network,medium,0.0,0.0,400.0,200.0
dg_admin_portal_0151_TB1,internet->app,network,medium,0.0,0.0,400.0,200.0
dg_admin_portal_0152_TB1,internet->internal,network,medium,0.0,0.0,400.0,200.0
dg_admin_portal_0153_TB1,internal->app,network,medium,0.0,0.0,400.0,200.0
dg_admin_portal_0155_TB1,internal->internet,network,medium,0.0,0.0,400.0,200.0
dg_admin_portal_0157_TB1,vendor->internal,network,medium,0.0,0.0,400.0,200.0
dg_admin_portal_0157_TB2,app->vendor,network,medium,0.0,0.0,400.0,200.0
dg_admin_portal_0158_TB1,internal->internet,network,medium,0.0,0.0,400.0,200.0
dg_admin_portal_0158_TB2,internal->app,network,medium,0.0,0.0,400.0,200.0
dg_admin_portal_0158_TB3,app->internal,network,medium,0.0,0.0,400.0,200.0
dg_admin_portal_0160_TB1,app->internal,network,medium,0.0,0.0,400.0,200.0
dg_admin_portal_0161_TB1,internal->app,network,medium,0.0,0.0,400.0,200.0
dg_admin_portal_0162_TB1,internet->internal,network,medium,0.0,0.0,400.0,200.0
dg_admin_portal_0162_TB2,vendor->internal,network,medium,0.0,0.0,400.0,200.0
dg_admin_portal_0163_TB1,internal->app,network,medium,0.0,0.0,400.0,200.0
dg_admin_portal_0164_TB1,app->internet,network,medium,0.0,0.0,400.0,200.0
dg_admin_portal_0167_TB1,internal->app,network,medium,0.0,0.0,400.0,200.0
dg_admin_portal_0168_TB1,internal->app,network,medium,0.0,0.0,400.0,200.0
dg_admin_portal_0169_TB1,internet->internal,network,medium,0.0,0.0,400.0,200.0
dg_admin_portal_0169_TB2,internet->app,network,medium,0.0,0.0,400.0,200.0
dg_admin_portal_0169_TB3,internal->app,network,medium,0.0,0.0,400.0,200.0
dg_admin_portal_0169_TB4,app->internal,network,medium,0.0,0.0,400.0,200.0
dg_admin_portal_0172_TB1,vendor->internet,network,medium,0.0,0.0,400.0,200.0
dg_admin_portal_0172_TB2,internet->app,network,medium,0.0,0.0,400.0,200.0
dg_admin_portal_0172_TB3,internal->vendor,network,medium,0.0,0.0,400.0,200.0
dg_admin_portal_0172_TB4,internal->internet,network,medium,0.0,0.0,400.0,200.0
dg_admin_portal_0175_TB1,internet->app,network,medium,0.0,0.0,400.0,200.0
dg_admin_portal_0175_TB2,app->internal,network,medium,0.0,0.0,400.0,200.0
dg_admin_portal_0176_TB1,internet->internal,network,medium,0.0,0.0,400.0,200.0
dg_admin_portal_0177_TB1,internet->vendor,network,medium,0.0,0.0,400.0,200.0
dg_admin_portal_0177_TB2,internal->vendor,network,medium,0.0,0.0,400.0,200.0
dg_admin_portal_0180_TB1,internet->internal,network,medium,0.0,0.0,400.0,200.0
dg_df_0003_TB1,dmz->internet,network,medium,0.0,0.0,400.0,200.0
dg_df_0005_TB1,vendor->internal,network,medium,0.0,0.0,400.0,200.0
dg_df_0005_TB2,internet->internal,network,medium,0.0,0.0,400.0,200.0
dg_df_0007_TB1,dmz->app,network,medium,0.0,0.0,400.0,200.0
dg_df_0007_TB2,internet->dmz,network,medium,0.0,0.0,400.0,200.0
dg_df_0008_TB1,internal->dmz,network,medium,0.0,0.0,400.0,200.0
dg_df_0009_TB1,dmz->internal,network,medium,0.0,0.0,400.0,200.0
dg_df_0010_TB1,vendor->internet,network,medium,0.0,0.0,400.0,200.0
dg_df_0011_TB1,app->internet,network,medium,0.0,0.0,400.0,200.0
